Timestamp,What is the hardest thing about being a remote employee?
9/30/2015 11:00:57,Loneliness
9/30/2015 11:32:19,isolation
9/30/2015 11:35:43,time
9/30/2015 11:36:09,Disconnectedness
9/30/2015 11:36:54,distraction
9/30/2015 11:40:25,Timezones
9/30/2015 11:41:46,Socialising
9/30/2015 11:50:30,subtext
9/30/2015 11:50:33,tearounds
9/30/2015 11:50:33,Concentration
9/30/2015 11:50:38,Concentration
9/30/2015 11:50:48,pants
9/30/2015 11:50:50,Concentration
9/30/2015 11:51:08,Timezones
9/30/2015 11:51:24,communication
9/30/2015 11:51:40,money
9/30/2015 11:51:51,lonely
9/30/2015 11:51:56,networking
9/30/2015 11:53:02,hygiene
9/30/2015 11:53:03,isolation
9/30/2015 11:54:30,videoconferencing
9/30/2015 11:54:38,Convincing
9/30/2015 11:55:17,prospects
9/30/2015 11:56:38,social
9/30/2015 11:57:30,Communicating
9/30/2015 11:57:48,Lonely
9/30/2015 11:59:24,Isolation
9/30/2015 12:01:13,Promotion
9/30/2015 12:01:30,Isolation
9/30/2015 12:02:11,family
9/30/2015 12:02:50,conversations
9/30/2015 12:05:11,Agency
9/30/2015 12:05:15,forgotten
9/30/2015 12:12:36,boundaries
9/30/2015 12:12:43,notknowingwhatisgoingonatthecompany
9/30/2015 12:12:46,watercooler
9/30/2015 12:13:15,connectionless
9/30/2015 12:16:12,loneliness
9/30/2015 12:17:25,Barking
9/30/2015 12:20:56,vidyo
9/30/2015 12:21:22,Suspicion
9/30/2015 12:23:11,disconnecting
9/30/2015 12:26:33,schedule
9/30/2015 12:26:43,influencing
9/30/2015 12:29:26,Lonely
9/30/2015 12:30:07,People
9/30/2015 12:31:18,Moustache
9/30/2015 12:37:28,wifi
9/30/2015 12:37:29,loneliness
9/30/2015 12:38:51,inclusion
9/30/2015 12:39:09,quiet
9/30/2015 12:42:32,bonding
9/30/2015 12:43:58,loneliness
9/30/2015 12:46:35,Focus
9/30/2015 12:48:31,disconnected
9/30/2015 12:49:51,communication
9/30/2015 12:56:11,lunch
9/30/2015 13:05:13,Timezones
